snippet,label
"def check_guess(guess, secret):
    if guess == secret:
        return 'Win'
    if guess > secret:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(attempt, secret):
    if attempt == secret:
        return 'Win'
    if attempt > secret:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(value, secret):
    if value == secret:
        return 'Win'
    if value > secret:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(pick, secret):
    if pick == secret:
        return 'Win'
    if pick > secret:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(choice, secret):
    if choice == secret:
        return 'Win'
    if choice > secret:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(entry, secret):
    if entry == secret:
        return 'Win'
    if entry > secret:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(guess, target):
    if guess == target:
        return 'Win'
    if guess > target:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(attempt, target):
    if attempt == target:
        return 'Win'
    if attempt > target:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(value, target):
    if value == target:
        return 'Win'
    if value > target:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(pick, target):
    if pick == target:
        return 'Win'
    if pick > target:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(choice, target):
    if choice == target:
        return 'Win'
    if choice > target:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(entry, target):
    if entry == target:
        return 'Win'
    if entry > target:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(guess, answer):
    if guess == answer:
        return 'Win'
    if guess > answer:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(attempt, answer):
    if attempt == answer:
        return 'Win'
    if attempt > answer:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(value, answer):
    if value == answer:
        return 'Win'
    if value > answer:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(pick, answer):
    if pick == answer:
        return 'Win'
    if pick > answer:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(choice, answer):
    if choice == answer:
        return 'Win'
    if choice > answer:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(entry, answer):
    if entry == answer:
        return 'Win'
    if entry > answer:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(guess, number):
    if guess == number:
        return 'Win'
    if guess > number:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(attempt, number):
    if attempt == number:
        return 'Win'
    if attempt > number:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(value, number):
    if value == number:
        return 'Win'
    if value > number:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(pick, number):
    if pick == number:
        return 'Win'
    if pick > number:
        return 'Too Low'
    return 'Too High'",logic_inverted
"def check_guess(choice, number):
    if choice == number:
        return 'Win'
    if choice > number:
        return 'Too Low'
    return 'Too High'",logic_inverted
